Header Title,Description,Required,Type,Field Length,Enumerated,Unique,Predictive Model
Address1Line3,Third line of street Address1,,string,255,,,
Address1City,City of Address1,,string,255,,,
Address1State,State of Address1,,string,50,,,
Address1County,County of Address1,,string,255,,,
Address1Country,Country of Address1,,string,255,,,
Address1PostalCode,Postal or Zip code of Address1,,string,20,,,
Address2AddressType,Designation of Address2 type,,string,20,,,
Address2Line1,First line of street Address2,,string,255,,,
Address2Line2,Second line of street Address2,,string,255,,,
Address2Line3,Third line of street Address2,,string,255,,,
Address2City,City of Address2,,string,255,,,
Address2State,State of Address2,,string,50,,,
Address2County,County of Address2,,string,255,,,
Address2Country,Country of Address2,,string,255,,,
Address2PostalCode,Postal or Zip code of Address2,,string,20,,,
Address3AddressType,Designation of Address3 type,,string,20,,,
Address3Line1,First line of street Address3,,string,255,,,
Address3Line2,Second line of street Address3,,string,255,,,
Address3Line3,Third line of street Address3,,string,255,,,
Address3City,City of Address3,,string,255,,,
Address3State,State of Address3,,string,50,,,
Address3County,County of Address3,,string,255,,,
Address3Country,Country of Address3,,string,255,,,
Address3PostalCode,Postal or Zip code of Address3,,string,20,,,
Campus1,"Campuses this Account is associated with.  Campus 1, 2 & 3 must be unique.",,string,250,,,
Campus2,,,string,250,,,
Campus3,,,string,250,,,
Telephone1CountryCode,Country code designation of number. https://en.wikipedia.org/wiki/List_of_country_calling_codes,,integer,5,,,
Telephone1AreaCode,Area code designation of Telephone1,,integer,20,,,
Telephone1Number,Unique Telephone1 number,,integer,20,,Yes,
Telephone1Extension,Telephone1 Extension,,integer,50,,,
Telephone1TelephoneType,"Designation of Telephone1 type (mobile, home, etc.�)",,string,20,,,
Telephone1MobileCarrier,Name of mobile Telephone1 service carrier,,string,50,,,
Telephone2CountryCode,Country code designation of number. https://en.wikipedia.org/wiki/List_of_country_calling_codes,,integer,5,,,
Telephone2AreaCode,Area code designation of Telephone2,,integer,20,,,
Telephone2Number,Unique Telephone2 number,,integer,20,,Yes,
Telephone2Extension,Telephone2 Extension,,integer,50,,,
Telephone2TelephoneType,"Designation of Telephone2 type (mobile, home, etc.�)",,string,20,,,
Telephone2MobileCarrier,Name of mobile Telephone2 service carrier,,string,50,,,
Telephone3CountryCode,Country code designation of number. https://en.wikipedia.org/wiki/List_of_country_calling_codes,,integer,5,,,
Telephone3AreaCode,Area code designation of Telephone3,,integer,20,,,
Telephone3Number,Unique Telephone3 number,,integer,20,,Yes,
Telephone3Extension,Telephone3 Extension,,integer,50,,,
Telephone3TelephoneType,"Designation of Telephone3 type (mobile, home, etc.�)",,string,20,,,
Telephone3MobileCarrier,Name of mobile Telephone3 service carrier,,string,50,,,
Username1,"Current campus IT usernames for the Account.  Username 1, 2 & 3 must be unique.",,string,250,,,
Username2,,,string,250,,,
Username3,,,string,250,,,
Certification1,"Certifications for this Account.  Certification 1, 2 & 3 should be unique.",,string,250,,,
Certification2,,,string,250,,,
Certification3,,,string,250,,,
Discipline1,"Disciplines for this Account.  Disciplines 1, 2 & 3 should be unique.",,string,250,,,
Discipline2,,,string,250,,,
Discipline3,,,string,250,,,
Department1,"Departments this Account is associated with.  Department 1, 2 & 3 should be unique.",,string,250,,,
Department2,,,string,250,,,
Department3,,,string,250,,,
Position1,"Positions this Account holds.  Positions 1, 2 & 3 should be unique.",,string,250,,,
Position2,,,string,250,,,
Position3,,,string,250,,,
ManagingDepartment1,"Departments this Account manages.  Managing Departments 1, 2 & 3 should be unique.",,string,250,,,
ManagingDepartment2,,,string,250,,,
ManagingDepartment3,,,string,250,,,
School1,"Schools this Account is associated with.  Schools 1, 2 & 3 should be unique.",,string,250,,,
School2,,,string,250,,,
School3,,,string,250,,,
